date,AQI,PM25,PM10,So2,No2,Co,O3,AQI_pred
2017-09-03,77.0,55.0,77.0,3.0,29.0,0.77,87.0,85.83556
2017-09-04,117.0,87.0,111.0,3.0,34.0,0.9,93.0,118.72548
2017-09-05,67.0,39.0,59.0,2.0,33.0,0.65,51.0,63.210915
2017-09-06,47.0,14.0,47.0,2.0,40.0,0.48,56.0,48.87184
2017-09-07,85.0,42.0,97.0,2.0,46.0,0.72,102.0,85.49243
2017-09-08,139.0,106.0,134.0,2.0,58.0,1.08,51.0,141.24406
2017-09-09,110.0,78.0,115.0,2.0,31.0,1.12,148.0,120.831696
2017-09-10,121.0,90.0,104.0,3.0,40.0,1.14,56.0,122.204254
2017-09-11,43.0,19.0,36.0,2.0,38.0,0.5,46.0,39.25907
2017-09-12,50.0,19.0,55.0,1.0,41.0,0.5,59.0,53.068638
2017-09-13,101.0,70.0,120.0,5.0,56.0,1.07,94.0,100.088806
2017-09-14,125.0,86.0,125.0,4.0,47.0,1.03,89.0,117.39143
2017-09-15,83.0,58.0,98.0,3.0,59.0,0.84,59.0,79.285706
2017-09-16,116.0,87.0,124.0,3.0,60.0,1.04,74.0,116.05728
2017-09-17,36.0,10.0,30.0,2.0,32.0,0.37,53.0,36.004345
2017-09-18,61.0,21.0,70.0,2.0,53.0,0.55,62.0,63.711857
2017-09-19,47.0,12.0,48.0,2.0,44.0,0.44,42.0,45.784256
2017-09-20,47.0,12.0,51.0,2.0,44.0,0.41,47.0,47.780544
2017-09-21,88.0,55.0,115.0,7.0,73.0,0.94,66.0,87.368126
2017-09-22,69.0,24.0,90.0,2.0,38.0,0.46,53.0,70.14219
2017-09-23,117.0,46.0,183.0,5.0,68.0,0.82,47.0,107.30086
2017-09-24,100.0,59.0,146.0,4.0,54.0,0.97,84.0,99.776535
2017-09-25,103.0,75.0,129.0,7.0,45.0,1.44,79.0,103.369934
2017-09-26,74.0,48.0,67.0,2.0,40.0,0.71,35.0,73.11206
2017-09-27,53.0,26.0,58.0,3.0,47.0,0.92,14.0,52.140076
2017-09-28,33.0,9.0,33.0,2.0,27.0,0.32,41.0,35.273052
2017-09-29,74.0,40.0,95.0,3.0,67.0,0.72,34.0,70.56319
2017-09-30,144.0,107.0,155.0,4.0,66.0,1.11,56.0,141.49118
2017-10-01,111.0,73.0,91.0,1.0,47.0,0.75,52.0,105.69866
2017-10-02,42.0,12.0,44.0,3.0,32.0,0.5,24.0,40.613007
2017-10-03,34.0,15.0,33.0,1.0,32.0,0.43,23.0,33.375942
2017-10-05,74.0,53.0,77.0,4.0,38.0,0.72,45.0,81.927345
2017-10-06,91.0,67.0,89.0,5.0,47.0,0.78,43.0,98.32289
2017-10-07,146.0,109.0,131.0,2.0,71.0,1.11,11.0,144.91553
2017-10-08,168.0,126.0,91.0,2.0,67.0,1.26,5.0,165.08783
2017-10-09,45.0,29.0,10.0,2.0,29.0,0.64,20.0,37.299652
2017-10-10,19.0,5.0,8.0,2.0,18.0,0.33,31.0,20.81781
2017-10-11,22.0,10.0,20.0,2.0,26.0,0.41,22.0,24.726349
2017-10-12,35.0,19.0,35.0,2.0,37.0,0.49,22.0,35.26234
2017-10-13,53.0,35.0,53.0,1.0,45.0,0.75,22.0,54.94761
2017-10-14,34.0,14.0,32.0,3.0,41.0,0.61,18.0,33.88393
2017-10-15,64.0,46.0,52.0,2.0,38.0,1.01,21.0,64.104095
2017-10-16,56.0,38.0,51.0,3.0,39.0,0.92,29.0,55.448105
2017-10-17,92.0,68.0,80.0,2.0,46.0,1.19,25.0,94.385315
2017-10-18,90.0,67.0,22.0,2.0,44.0,1.18,17.0,88.90203
2017-10-19,74.0,53.0,20.0,1.0,36.0,1.16,24.0,73.33966
2017-10-20,123.0,93.0,47.0,2.0,44.0,1.36,25.0,125.293175
2017-10-21,103.0,75.0,57.0,2.0,36.0,1.31,36.0,103.040215
2017-10-22,54.0,37.0,47.0,3.0,41.0,0.89,16.0,53.52532
2017-10-23,49.0,34.0,43.0,2.0,36.0,0.66,24.0,50.878704
2017-10-24,90.0,66.0,76.0,2.0,44.0,0.91,30.0,94.55753
2017-10-25,141.0,106.0,58.0,2.0,52.0,1.27,16.0,140.27692
2017-10-26,195.0,149.0,17.0,2.0,65.0,1.56,11.0,190.41142
2017-10-27,217.0,166.0,0.0,2.0,65.0,1.54,20.0,210.51881
2017-10-28,78.0,47.0,48.0,1.0,26.0,0.66,38.0,70.81446
2017-10-29,27.0,7.0,21.0,2.0,24.0,0.34,39.0,27.61544
2017-10-30,40.0,17.0,41.0,3.0,44.0,0.53,24.0,39.812496
2017-10-31,83.0,56.0,98.0,4.0,69.0,0.94,7.0,83.00072
2017-11-01,88.0,63.0,99.0,2.0,76.0,1.01,12.0,87.78642
2017-11-02,75.0,50.0,84.0,5.0,55.0,0.91,27.0,73.01786
2017-11-03,28.0,7.0,27.0,2.0,27.0,0.34,39.0,31.592335
2017-11-04,56.0,33.0,60.0,3.0,51.0,0.73,22.0,54.956505
2017-11-05,131.0,98.0,118.0,5.0,67.0,1.23,17.0,132.34673
2017-11-06,200.0,151.0,136.0,4.0,67.0,1.48,25.0,197.05496
2017-11-07,129.0,86.0,74.0,2.0,43.0,0.93,35.0,122.09462
2017-11-08,41.0,18.0,42.0,5.0,48.0,0.79,19.0,41.09456
2017-11-09,75.0,50.0,89.0,5.0,61.0,1.34,8.0,78.0741
2017-11-10,40.0,9.0,39.0,2.0,15.0,0.31,49.0,38.32131
2017-11-11,35.0,16.0,34.0,3.0,34.0,0.42,24.0,33.84536
2017-11-12,75.0,53.0,89.0,5.0,61.0,0.97,7.0,77.985886
2017-11-13,63.0,26.0,71.0,2.0,30.0,0.62,38.0,60.68383
2017-11-14,30.0,9.0,27.0,2.0,23.0,0.44,39.0,31.198387
2017-11-15,38.0,14.0,36.0,2.0,35.0,0.51,35.0,37.703423
2017-11-16,76.0,55.0,83.0,9.0,69.0,1.29,10.0,78.19365
2017-11-17,57.0,24.0,59.0,4.0,32.0,0.67,40.0,51.32926
2017-11-18,54.0,34.0,54.0,5.0,31.0,0.58,38.0,55.270973
2017-11-19,115.0,86.0,114.0,8.0,69.0,1.27,8.0,118.51816
2017-11-20,135.0,101.0,128.0,10.0,83.0,1.82,11.0,133.67325
2017-11-21,166.0,119.0,161.0,11.0,85.0,1.83,20.0,153.4684
2017-11-22,35.0,7.0,33.0,2.0,16.0,0.33,52.0,35.51696
2017-11-23,31.0,6.0,28.0,2.0,19.0,0.37,43.0,31.856167
2017-11-24,40.0,18.0,44.0,5.0,31.0,0.53,33.0,40.738358
2017-11-25,63.0,39.0,74.0,7.0,57.0,0.97,16.0,62.807552
2017-11-26,36.0,10.0,27.0,2.0,22.0,0.39,49.0,32.763916
2017-11-27,91.0,67.0,92.0,9.0,69.0,1.37,8.0,90.00758
2017-11-28,75.0,39.0,78.0,4.0,39.0,0.86,36.0,69.14455
2017-11-29,34.0,12.0,32.0,3.0,32.0,0.48,33.0,34.376205
2017-11-30,45.0,22.0,46.0,6.0,41.0,0.68,28.0,42.721043
2017-12-01,91.0,67.0,99.0,10.0,66.0,1.26,12.0,90.692245
