日期,AQI指数,PM2.5,PM10,So2,No2,Co,O3
2018-01-27,105,78,92,14,71,1.48,9
2018-01-28,56,13,62,2,16,0.42,62
2018-01-29,55,8,61,3,18,0.37,59
2018-01-30,36,10,34,5,26,0.44,57
2018-01-31,61,19,70,6,28,0.47,54
2018-02-01,67,30,83,10,39,0.78,39
2018-02-02,35,7,29,4,11,0.36,67
2018-02-03,28,7,20,4,19,0.4,55
2018-02-04,37,17,34,7,33,0.57,43
2018-02-05,32,6,17,3,14,0.34,64
2018-02-06,61,41,53,12,51,0.9,29
2018-02-07,63,32,53,8,34,0.73,54
2018-02-08,69,48,68,11,54,0.96,32
2018-02-09,90,41,109,8,36,0.81,47
2018-02-10,41,9,41,3,12,0.36,67
2018-02-11,64,8,78,3,6,0.28,73
2018-02-12,52,10,55,4,13,0.38,66
2018-02-13,80,55,77,13,58,1.2,29
2018-02-14,43,14,35,3,19,0.44,69
2018-02-15,62,37,48,13,19,0.52,70
2018-02-16,105,75,97,14,23,0.61,64
2018-02-17,105,78,89,15,34,1.43,42
2018-02-18,148,113,95,14,48,1.86,47
2018-02-19,185,140,75,23,44,2.18,52
2018-02-20,72,47,19,5,21,0.72,68
2018-02-21,51,32,41,7,26,0.66,60
2018-02-22,44,15,44,5,27,0.51,57
2018-02-23,48,20,48,5,30,0.63,53
2018-02-24,63,30,77,10,22,0.73,54
2018-02-25,75,54,66,10,42,0.88,41
2018-02-26,159,120,120,21,71,1.66,43
2018-02-27,219,169,171,12,57,2.05,38
2018-02-28,133,92,121,9,37,1.12,66
2018-03-01,48,14,48,3,15,0.38,75
2018-03-02,99,73,99,17,52,1.08,41
2018-03-03,217,167,195,19,75,1.94,29
2018-03-04,135,61,198,7,37,0.89,38
2018-03-05,92,47,132,8,43,0.93,37
2018-03-06,65,45,65,10,40,0.95,44
2018-03-07,64,44,61,8,48,0.78,34
2018-03-08,61,42,58,5,35,0.73,59
2018-03-09,136,101,112,12,68,1.3,35
2018-03-10,165,123,136,15,64,1.53,60
2018-03-11,83,60,69,16,47,1.33,51
2018-03-12,183,141,147,11,72,1.7,43
2018-03-13,289,238,9,10,93,2.08,71
2018-03-14,293,242,0,16,80,2.61,54
2018-03-15,69,26,48,3,17,0.46,75
2018-03-16,57,31,63,6,29,0.59,62
2018-03-17,82,58,35,4,60,0.93,18
2018-03-18,135,102,21,2,54,1.02,41
2018-03-19,101,73,29,3,45,0.78,51
2018-03-20,44,22,39,3,32,0.48,61
2018-03-21,78,56,79,8,53,0.84,38
2018-03-22,114,85,103,7,65,0.96,47
2018-03-23,146,110,137,10,86,1.36,31
2018-03-24,117,85,84,9,60,1.12,63
2018-03-25,76,53,91,6,56,0.63,70
2018-03-26,155,117,141,11,70,0.99,78
2018-03-27,245,194,195,11,98,1.37,64
2018-03-28,388,154,858,5,52,0.89,56
2018-03-29,115,44,178,12,45,0.86,51
2018-03-30,68,39,81,7,50,0.59,60
2018-03-31,128,96,148,12,80,1.05,56
2018-04-01,221,173,209,14,78,1.51,102
2018-04-02,283,229,211,10,61,1.82,104
2018-04-03,78,12,98,2,15,0.28,75
2018-04-04,34,21,20,2,30,0.44,36
2018-04-05,91,48,70,2,28,0.59,33
