日期,AQI指数,PM2.5,PM10,So2,No2,Co,O3,y_pred
2017-09-13,101.0,70.0,120.0,5.0,56.0,1.07,94.0,99.042496
2017-09-14,125.0,86.0,125.0,4.0,47.0,1.03,89.0,118.5708
2017-09-15,83.0,58.0,98.0,3.0,59.0,0.84,59.0,79.806564
2017-09-16,116.0,87.0,124.0,3.0,60.0,1.04,74.0,115.02621
2017-09-17,36.0,10.0,30.0,2.0,32.0,0.37,53.0,39.040882
2017-09-18,61.0,21.0,70.0,2.0,53.0,0.55,62.0,61.730686
2017-09-19,47.0,12.0,48.0,2.0,44.0,0.44,42.0,45.772514
2017-09-20,47.0,12.0,51.0,2.0,44.0,0.41,47.0,47.48614
2017-09-21,88.0,55.0,115.0,7.0,73.0,0.94,66.0,90.94859
2017-09-22,69.0,24.0,90.0,2.0,38.0,0.46,53.0,67.25058
2017-09-23,117.0,46.0,183.0,5.0,68.0,0.82,47.0,116.01912
2017-09-24,100.0,59.0,146.0,4.0,54.0,0.97,84.0,97.489296
2017-09-25,103.0,75.0,129.0,7.0,45.0,1.44,79.0,102.94896
2017-09-26,74.0,48.0,67.0,2.0,40.0,0.71,35.0,74.05597
2017-09-27,53.0,26.0,58.0,3.0,47.0,0.92,14.0,52.741047
2017-09-28,33.0,9.0,33.0,2.0,27.0,0.32,41.0,33.896675
2017-09-29,74.0,40.0,95.0,3.0,67.0,0.72,34.0,75.088776
2017-09-30,144.0,107.0,155.0,4.0,66.0,1.11,56.0,143.43591
2017-10-01,111.0,73.0,91.0,1.0,47.0,0.75,52.0,101.22563
2017-10-02,42.0,12.0,44.0,3.0,32.0,0.5,24.0,37.459133
2017-10-03,34.0,15.0,33.0,1.0,32.0,0.43,23.0,33.52444
2017-10-05,74.0,53.0,77.0,4.0,38.0,0.72,45.0,81.558395
2017-10-06,91.0,67.0,89.0,5.0,47.0,0.78,43.0,97.31136
2017-10-07,146.0,109.0,131.0,2.0,71.0,1.11,11.0,147.45432
2017-10-08,168.0,126.0,91.0,2.0,67.0,1.26,5.0,168.56662
2017-10-09,45.0,29.0,10.0,2.0,29.0,0.64,20.0,34.59777
2017-10-10,19.0,5.0,8.0,2.0,18.0,0.33,31.0,20.263283
2017-10-11,22.0,10.0,20.0,2.0,26.0,0.41,22.0,25.323124
2017-10-12,35.0,19.0,35.0,2.0,37.0,0.49,22.0,38.60897
2017-10-13,53.0,35.0,53.0,1.0,45.0,0.75,22.0,53.71199
2017-10-14,34.0,14.0,32.0,3.0,41.0,0.61,18.0,36.217953
2017-10-15,64.0,46.0,52.0,2.0,38.0,1.01,21.0,64.47224
2017-10-16,56.0,38.0,51.0,3.0,39.0,0.92,29.0,55.6215
2017-10-17,92.0,68.0,80.0,2.0,46.0,1.19,25.0,93.687874
2017-10-18,90.0,67.0,22.0,2.0,44.0,1.18,17.0,90.20708
2017-10-19,74.0,53.0,20.0,1.0,36.0,1.16,24.0,73.05779
2017-10-20,123.0,93.0,47.0,2.0,44.0,1.36,25.0,125.701935
2017-10-21,103.0,75.0,57.0,2.0,36.0,1.31,36.0,101.604774
2017-10-22,54.0,37.0,47.0,3.0,41.0,0.89,16.0,52.532368
2017-10-23,49.0,34.0,43.0,2.0,36.0,0.66,24.0,52.815872
2017-10-24,90.0,66.0,76.0,2.0,44.0,0.91,30.0,95.852554
2017-10-25,141.0,106.0,58.0,2.0,52.0,1.27,16.0,145.88383
2017-10-26,195.0,149.0,17.0,2.0,65.0,1.56,11.0,192.19324
2017-10-27,217.0,166.0,0.0,2.0,65.0,1.54,20.0,210.52765
2017-10-28,78.0,47.0,48.0,1.0,26.0,0.66,38.0,68.2613
2017-10-29,27.0,7.0,21.0,2.0,24.0,0.34,39.0,27.410316
2017-10-30,40.0,17.0,41.0,3.0,44.0,0.53,24.0,41.31454
2017-10-31,83.0,56.0,98.0,4.0,69.0,0.94,7.0,78.774376
2017-11-01,88.0,63.0,99.0,2.0,76.0,1.01,12.0,87.94735
2017-11-02,75.0,50.0,84.0,5.0,55.0,0.91,27.0,72.77829
2017-11-03,28.0,7.0,27.0,2.0,27.0,0.34,39.0,30.903542
2017-11-04,56.0,33.0,60.0,3.0,51.0,0.73,22.0,55.15349
2017-11-05,131.0,98.0,118.0,5.0,67.0,1.23,17.0,135.61041
2017-11-06,200.0,151.0,136.0,4.0,67.0,1.48,25.0,202.38428
2017-11-07,129.0,86.0,74.0,2.0,43.0,0.93,35.0,121.305954
2017-11-08,41.0,18.0,42.0,5.0,48.0,0.79,19.0,41.99388
2017-11-09,75.0,50.0,89.0,5.0,61.0,1.34,8.0,73.7661
2017-11-10,40.0,9.0,39.0,2.0,15.0,0.31,49.0,41.106926
2017-11-11,35.0,16.0,34.0,3.0,34.0,0.42,24.0,35.214386
2017-11-12,75.0,53.0,89.0,5.0,61.0,0.97,7.0,75.57359
2017-11-13,63.0,26.0,71.0,2.0,30.0,0.62,38.0,59.98954
2017-11-14,30.0,9.0,27.0,2.0,23.0,0.44,39.0,29.896706
2017-11-15,38.0,14.0,36.0,2.0,35.0,0.51,35.0,39.26158
2017-11-16,76.0,55.0,83.0,9.0,69.0,1.29,10.0,76.23095
2017-11-17,57.0,24.0,59.0,4.0,32.0,0.67,40.0,51.523407
2017-11-18,54.0,34.0,54.0,5.0,31.0,0.58,38.0,58.170414
2017-11-19,115.0,86.0,114.0,8.0,69.0,1.27,8.0,120.501434
2017-11-20,135.0,101.0,128.0,10.0,83.0,1.82,11.0,129.83084
2017-11-21,166.0,119.0,161.0,11.0,85.0,1.83,20.0,161.00536
2017-11-22,35.0,7.0,33.0,2.0,16.0,0.33,52.0,36.15537
2017-11-23,31.0,6.0,28.0,2.0,19.0,0.37,43.0,30.572193
2017-11-24,40.0,18.0,44.0,5.0,31.0,0.53,33.0,40.95035
2017-11-25,63.0,39.0,74.0,7.0,57.0,0.97,16.0,62.756668
2017-11-26,36.0,10.0,27.0,2.0,22.0,0.39,49.0,32.511974
2017-11-27,91.0,67.0,92.0,9.0,69.0,1.37,8.0,91.196556
2017-11-28,75.0,39.0,78.0,4.0,39.0,0.86,36.0,70.808
2017-11-29,34.0,12.0,32.0,3.0,32.0,0.48,33.0,34.559372
2017-11-30,45.0,22.0,46.0,6.0,41.0,0.68,28.0,43.1725
2017-12-01,91.0,67.0,99.0,10.0,66.0,1.26,12.0,92.01023
2017-12-02,187.0,144.0,177.0,15.0,103.0,2.24,5.0,185.54144
2017-12-03,79.0,52.0,72.0,6.0,41.0,0.92,40.0,77.18873
2017-12-04,28.0,5.0,21.0,1.0,15.0,0.34,53.0,29.365993
2017-12-05,44.0,22.0,46.0,5.0,43.0,0.72,27.0,44.47428
2017-12-06,49.0,23.0,53.0,6.0,41.0,0.78,32.0,47.706722
2017-12-07,27.0,8.0,25.0,4.0,19.0,0.42,39.0,29.458305
2017-12-08,41.0,20.0,43.0,5.0,40.0,0.73,23.0,41.952312
2017-12-09,56.0,33.0,62.0,8.0,58.0,1.04,16.0,56.537567
2017-12-10,43.0,6.0,45.0,2.0,13.0,0.28,61.0,43.473366
2017-12-11,28.0,5.0,20.0,2.0,15.0,0.32,54.0,28.989437
2017-12-12,28.0,12.0,25.0,3.0,30.0,0.55,27.0,30.71946
2017-12-13,49.0,31.0,49.0,6.0,50.0,0.87,10.0,47.42297
2017-12-14,94.0,70.0,85.0,18.0,68.0,1.76,6.0,91.2849
2017-12-15,62.0,35.0,57.0,6.0,34.0,0.85,37.0,57.8627
2017-12-16,40.0,7.0,39.0,1.0,10.0,0.32,58.0,42.175907
2017-12-17,46.0,24.0,48.0,5.0,48.0,0.76,30.0,47.045086
2017-12-18,48.0,13.0,49.0,3.0,21.0,0.44,47.0,44.835793
2017-12-19,55.0,34.0,66.0,8.0,47.0,0.74,20.0,56.91358
2017-12-20,44.0,21.0,44.0,4.0,40.0,0.65,36.0,44.503403
2017-12-21,74.0,51.0,77.0,12.0,77.0,1.33,9.0,74.93915
2017-12-22,62.0,36.0,63.0,9.0,55.0,1.07,29.0,59.654594
2017-12-23,50.0,30.0,55.0,10.0,60.0,1.02,13.0,53.50108
2017-12-24,50.0,14.0,50.0,3.0,17.0,0.42,59.0,48.90126
2017-12-25,46.0,28.0,46.0,8.0,44.0,0.69,28.0,46.457275
2017-12-26,41.0,22.0,42.0,6.0,45.0,0.73,31.0,42.635586
2017-12-27,101.0,75.0,91.0,10.0,69.0,1.45,7.0,103.71811
2017-12-28,140.0,105.0,120.0,11.0,68.0,1.86,10.0,136.85016
2017-12-29,221.0,172.0,194.0,6.0,85.0,2.9,6.0,220.60515
2017-12-30,157.0,116.0,129.0,4.0,62.0,2.03,22.0,151.05573
2017-12-31,55.0,29.0,62.0,5.0,47.0,0.83,21.0,53.55466
2018-01-01,55.0,35.0,65.0,11.0,46.0,1.23,23.0,58.602917
2018-01-02,46.0,27.0,48.0,6.0,35.0,0.94,28.0,46.346268
2018-01-03,29.0,10.0,26.0,4.0,20.0,0.44,44.0,31.360691
2018-01-04,28.0,14.0,27.0,4.0,31.0,0.51,32.0,32.7209
2018-01-05,51.0,30.0,52.0,8.0,51.0,0.95,20.0,50.502853
2018-01-06,29.0,14.0,27.0,5.0,38.0,0.57,35.0,33.691326
2018-01-07,56.0,37.0,57.0,10.0,46.0,0.92,27.0,57.531364
2018-01-08,51.0,12.0,56.0,3.0,10.0,0.34,60.0,53.888783
2018-01-09,37.0,6.0,32.0,2.0,12.0,0.35,58.0,36.620586
2018-01-10,32.0,5.0,20.0,2.0,8.0,0.3,62.0,32.617245
2018-01-11,30.0,10.0,21.0,4.0,22.0,0.47,46.0,28.842972
2018-01-12,77.0,55.0,77.0,12.0,72.0,1.32,11.0,77.56798
2018-01-13,130.0,98.0,122.0,17.0,85.0,1.83,8.0,125.04689
2018-01-14,177.0,136.0,151.0,13.0,77.0,1.91,23.0,177.28918
2018-01-15,48.0,29.0,52.0,7.0,48.0,0.94,29.0,50.121384
2018-01-16,114.0,45.0,175.0,5.0,43.0,0.79,37.0,120.51735
2018-01-17,77.0,43.0,106.0,9.0,51.0,1.09,31.0,77.844376
2018-01-18,87.0,56.0,96.0,11.0,74.0,1.19,14.0,83.35631
2018-01-19,108.0,80.0,119.0,14.0,78.0,1.56,19.0,106.60843
2018-01-20,61.0,30.0,73.0,9.0,51.0,0.88,24.0,58.968636
2018-01-21,63.0,35.0,74.0,20.0,47.0,1.3,21.0,58.387352
2018-01-22,45.0,23.0,47.0,4.0,28.0,0.7,45.0,45.95963
2018-01-23,35.0,8.0,29.0,3.0,14.0,0.44,58.0,34.747475
2018-01-24,36.0,15.0,30.0,4.0,28.0,0.48,52.0,37.511005
2018-01-25,29.0,8.0,21.0,3.0,26.0,0.44,52.0,32.335228
2018-01-26,39.0,24.0,36.0,7.0,43.0,0.6,34.0,40.95187
2018-01-27,105.0,78.0,92.0,14.0,71.0,1.48,9.0,106.461006
2018-01-28,56.0,13.0,62.0,2.0,16.0,0.42,62.0,54.575825
2018-01-29,55.0,8.0,61.0,3.0,18.0,0.37,59.0,49.237278
2018-01-30,36.0,10.0,34.0,5.0,26.0,0.44,57.0,37.92449
2018-01-31,61.0,19.0,70.0,6.0,28.0,0.47,54.0,56.539764
2018-02-01,67.0,30.0,83.0,10.0,39.0,0.78,39.0,64.12625
2018-02-02,35.0,7.0,29.0,4.0,11.0,0.36,67.0,36.64366
2018-02-03,28.0,7.0,20.0,4.0,19.0,0.4,55.0,28.865627
2018-02-04,37.0,17.0,34.0,7.0,33.0,0.57,43.0,36.026024
2018-02-05,32.0,6.0,17.0,3.0,14.0,0.34,64.0,29.09261
2018-02-06,61.0,41.0,53.0,12.0,51.0,0.9,29.0,59.982536
2018-02-07,63.0,32.0,53.0,8.0,34.0,0.73,54.0,56.403267
2018-02-08,69.0,48.0,68.0,11.0,54.0,0.96,32.0,69.21557
2018-02-09,90.0,41.0,109.0,8.0,36.0,0.81,47.0,84.9719
2018-02-10,41.0,9.0,41.0,3.0,12.0,0.36,67.0,43.744476
2018-02-11,64.0,8.0,78.0,3.0,6.0,0.28,73.0,64.02118
2018-02-12,52.0,10.0,55.0,4.0,13.0,0.38,66.0,50.25285
2018-02-13,80.0,55.0,77.0,13.0,58.0,1.2,29.0,75.24431
2018-02-14,43.0,14.0,35.0,3.0,19.0,0.44,69.0,41.53106
2018-02-15,62.0,37.0,48.0,13.0,19.0,0.52,70.0,64.271454
2018-02-16,105.0,75.0,97.0,14.0,23.0,0.61,64.0,102.7223
2018-02-17,105.0,78.0,89.0,15.0,34.0,1.43,42.0,107.65412
2018-02-18,148.0,113.0,95.0,14.0,48.0,1.86,47.0,148.94368
2018-02-19,185.0,140.0,75.0,23.0,44.0,2.18,52.0,181.69955
2018-02-20,72.0,47.0,19.0,5.0,21.0,0.72,68.0,69.01208
2018-02-21,51.0,32.0,41.0,7.0,26.0,0.66,60.0,55.142197
2018-02-22,44.0,15.0,44.0,5.0,27.0,0.51,57.0,43.173008
2018-02-23,48.0,20.0,48.0,5.0,30.0,0.63,53.0,46.271446
2018-02-24,63.0,30.0,77.0,10.0,22.0,0.73,54.0,63.834835
2018-02-25,75.0,54.0,66.0,10.0,42.0,0.88,41.0,77.928665
2018-02-26,159.0,120.0,120.0,21.0,71.0,1.66,43.0,155.95862
2018-02-27,219.0,169.0,171.0,12.0,57.0,2.05,38.0,216.47075
2018-02-28,133.0,92.0,121.0,9.0,37.0,1.12,66.0,126.74637
2018-03-01,48.0,14.0,48.0,3.0,15.0,0.38,75.0,50.46406
2018-03-02,99.0,73.0,99.0,17.0,52.0,1.08,41.0,98.56589
2018-03-03,217.0,167.0,195.0,19.0,75.0,1.94,29.0,211.17258
2018-03-04,135.0,61.0,198.0,7.0,37.0,0.89,38.0,132.7396
2018-03-05,92.0,47.0,132.0,8.0,43.0,0.93,37.0,97.52314
2018-03-06,65.0,45.0,65.0,10.0,40.0,0.95,44.0,68.36781
2018-03-07,64.0,44.0,61.0,8.0,48.0,0.78,34.0,62.753555
2018-03-08,61.0,42.0,58.0,5.0,35.0,0.73,59.0,64.08543
2018-03-09,136.0,101.0,112.0,12.0,68.0,1.3,35.0,135.99693
2018-03-10,165.0,123.0,136.0,15.0,64.0,1.53,60.0,160.0921
2018-03-11,83.0,60.0,69.0,16.0,47.0,1.33,51.0,82.26101
2018-03-12,183.0,141.0,147.0,11.0,72.0,1.7,43.0,184.31044
2018-03-13,289.0,238.0,9.0,10.0,93.0,2.08,71.0,287.76172
2018-03-14,293.0,242.0,0.0,16.0,80.0,2.61,54.0,295.3776
2018-03-15,69.0,26.0,48.0,3.0,17.0,0.46,75.0,58.853622
2018-03-16,57.0,31.0,63.0,6.0,29.0,0.59,62.0,62.12233
2018-03-17,82.0,58.0,35.0,4.0,60.0,0.93,18.0,74.509476
2018-03-18,135.0,102.0,21.0,2.0,54.0,1.02,41.0,132.17743
2018-03-19,101.0,73.0,29.0,3.0,45.0,0.78,51.0,98.7795
2018-03-20,44.0,22.0,39.0,3.0,32.0,0.48,61.0,46.894524
2018-03-21,78.0,56.0,79.0,8.0,53.0,0.84,38.0,79.31534
2018-03-22,114.0,85.0,103.0,7.0,65.0,0.96,47.0,114.542274
2018-03-23,146.0,110.0,137.0,10.0,86.0,1.36,31.0,144.85242
2018-03-24,117.0,85.0,84.0,9.0,60.0,1.12,63.0,114.444595
2018-03-25,76.0,53.0,91.0,6.0,56.0,0.63,70.0,71.944046
2018-03-26,155.0,117.0,141.0,11.0,70.0,0.99,78.0,150.83841
2018-03-27,245.0,194.0,195.0,11.0,98.0,1.37,64.0,244.68106
2018-03-28,388.0,154.0,858.0,5.0,52.0,0.89,56.0,389.38873
2018-03-29,115.0,44.0,178.0,12.0,45.0,0.86,51.0,113.24157
2018-03-30,68.0,39.0,81.0,7.0,50.0,0.59,60.0,65.21689
